QuestionText__c,Active__c
Could you please confirm your full name as it appears on your account?,TRUE
Could you please confirm your date of birth?,TRUE
Could you please confirm the address associated with your account?,TRUE
"Can you tell me about a recent investment or transaction you made with us, such as the investment type and amount?",TRUE
Could you please confirm your account number?,TRUE
Could you please confirm the email address or phone number associated with your account?,TRUE
"Can you please provide details of your last transaction with us, such as the date and amount?",TRUE
Could you please answer the security question: [Security question that the customer set up during account creation]?,TRUE
"Can you recall any recent communication or notifications you received from us, such as the subject or content of a recent email?",TRUE
"Could you please provide details on a specific investment in your portfolio, such as the name of the investment and the date you acquired it?",TRUE